2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Customer::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\customer.php on line 14
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Customer::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\customer.php on line 15
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Customer::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\customer.php on line 16
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Customer::$session is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\customer.php on line 17
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getCurrencyByCode is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getCurrencies is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Currency::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\currency.php on line 7
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Currency::$language is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\currency.php on line 8
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Tax::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\tax.php on line 7
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Tax::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\tax.php on line 8
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Weight::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\weight.php on line 7
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Weight::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\weight.php on line 8
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Length::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\length.php on line 7
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Length::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\length.php on line 8
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 7
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$customer is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 8
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$session is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 9
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 10
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$tax is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 11
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Cart::$weight is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\cart.php on line 12
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getExtensions is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getExtensionsByType is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getExtensionByCode is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
